2,TRATON,8TRA,SEK,DE000TRAT0N7,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=DE000TRAT0N7&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,8TRA.ST
3,AAK,AAK,SEK,SE0011337708,"Food, Beverage and Tobacco",4510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011337708&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,AAK.ST
4,ABB Ltd,ABB,SEK,CH0012221716,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=CH0012221716&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ABB.ST
5,Addtech B,ADDT B,SEK,SE0014781795,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0014781795&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ADDT-B.ST
6,ÅF Pöyry B,AF B,SEK,SE0005999836,Construction and Materials,5010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0005999836&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,AF-B.ST
7,Alfa Laval,ALFA,SEK,SE0000695876,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000695876&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ALFA.ST
8,Autoliv SDB,ALIV SDB,SEK,SE0000382335,Automobiles and Parts,4010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000382335&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ALIV-SDB.ST
9,Ahlstrom-Munksjö Oyj,AM1S,SEK,FI4000048418,Basic Resources,5510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=FI4000048418&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,AM1S.ST
10,Arion Banki SDB,ARION SDB,SEK,SE0010413567,Banks,3010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0010413567&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ARION-SDB.ST
11,Arjo B,ARJO B,SEK,SE0010468116,Health Care,2010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0010468116&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ARJO-B.ST
12,ASSA ABLOY B,ASSA B,SEK,SE0007100581,Construction and Materials,5010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0007100581&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ASSA-B.ST
13,Atlas Copco A,ATCO A,SEK,SE0011166610,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011166610&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ATCO-A.ST
14,Atlas Copco B,ATCO B,SEK,SE0011166628,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011166628&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ATCO-B.ST
15,Atrium Ljungberg B,ATRLJ B,SEK,SE0000191827,Real Estate,3510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000191827&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ATRLJ-B.ST
16,Axfood,AXFO,SEK,SE0006993770,"Personal Care, Drug and Grocery Stores",4520,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0006993770&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,AXFO.ST
17,Avanza Bank Holding,AZA,SEK,SE0012454072,Banks,3010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0012454072&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,AZA.ST
18,AstraZeneca,AZN,SEK,GB0009895292,Health Care,2010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=GB0009895292&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,AZN.ST
19,Fast. Balder B,BALD B,SEK,SE0000455057,Real Estate,3510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000455057&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,BALD-B.ST
20,Beijer Ref B,BEIJ B,SEK,SE0011116508,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011116508&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,BEIJ-B.ST
21,Betsson B,BETS B,SEK,SE0014186532,Travel and Leisure,4050,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0014186532&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,BETS-B.ST
22,BHG Group,BHG,SEK,SE0010948588,Retail,4040,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0010948588&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,BHG.ST
23,BillerudKorsnäs,BILL,SEK,SE0000862997,Basic Resources,5510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000862997&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,BILL.ST
24,Boliden,BOL,SEK,SE0012455673,Basic Resources,5510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0012455673&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,BOL.ST
25,Bravida Holding,BRAV,SEK,SE0007491303,Construction and Materials,5010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0007491303&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,BRAV.ST
26,Bure Equity,BURE,SEK,SE0000195810,Financial Services,3020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000195810&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,BURE.ST
27,Castellum,CAST,SEK,SE0000379190,Real Estate,3510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000379190&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,CAST.ST
28,Catena,CATE,SEK,SE0001664707,Real Estate,3510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0001664707&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,CATE.ST
29,Dometic Group,DOM,SEK,SE0007691613,Consumer Products and Services,4020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0007691613&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,DOM.ST
30,Elekta B,EKTA B,SEK,SE0000163628,Health Care,2010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000163628&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,EKTA-B.ST
